,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
961,Victor Mete\metevi01,20,MTL,D,71,3,0.00,0.18,0.18,0.05,0.08,0.92,0,13,13,4,57,1,44,5,17,58.6,48.0,10.5,-0.2,3.7,3.5,0,,,
962,Victor Olofsson\olofsvi01,23,BUF,RW,6,2,0.33,0.33,0.67,0.27,0.33,3.50,2,2,4,2,6,2,3,0,1,5.5,2.9,2.6,0.3,0.2,0.5,0,,,
963,Victor Rask\raskvi01,25,TOT,C,49,3,0.06,0.12,0.18,0.07,0.16,1.12,3,6,9,3,17,4,17,0,-4,17.2,19.8,-2.6,-0.4,0.6,0.2,0,,,
963,Victor Rask\raskvi01,25,MIN,C,23,1,0.09,0.04,0.13,0.06,0.17,1.30,2,1,3,1,6,0,7,0,-1,8.4,8.4,0.0,-0.3,0.4,0.1,1,0,1,0.0
964,Viktor Arvidsson\arvidvi01,25,NSH,LW,58,23,0.59,0.24,0.83,0.39,0.45,3.36,34,14,48,22,76,15,55,5,12,47.9,44.5,3.4,5.3,1.7,7.0,0,,,
965,Vince Dunn\dunnvi02,22,STL,D,78,13,0.15,0.29,0.45,0.16,0.58,1.92,12,23,35,13,77,20,44,1,14,64.8,45.3,19.5,3.0,4.1,7.2,0,,,
966,Vincent Trocheck\trochvi01,25,FLA,C,55,12,0.18,0.44,0.62,0.21,0.98,2.87,10,24,34,12,59,20,62,14,-9,39.2,38.1,1.1,1.4,0.9,2.3,5,2,3,40.0
967,Vinni Lettieri\lettivi01,23,NYR,C,27,1,0.04,0.07,0.11,0.04,0.52,1.48,1,2,3,1,6,2,11,1,-7,10.1,11.3,-1.3,-0.4,0.1,-0.3,0,,,
968,Vinnie Hinostroza\hinosvi01,24,ARI,C,72,15,0.22,0.32,0.54,0.21,0.19,2.11,16,23,39,15,47,7,46,2,-4,41.0,42.8,-1.8,2.7,1.5,4.2,4,2,2,50.0
969,Vitaly Abramov\abramvi01,20,OTT,RW,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,3,0,-3,0.1,0.9,-0.8,0.0,-0.1,-0.1,0,,,
970,Vladimir Sobotka\sobotvl01,31,BUF,C,69,5,0.07,0.12,0.19,0.07,0.38,1.03,5,8,13,5,25,0,58,13,-20,22.9,42.4,-19.4,-0.9,0.5,-0.4,1,0,1,0.0
971,Vladimir Tarasenko\tarasvl01,27,STL,RW,76,27,0.43,0.46,0.89,0.36,0.29,3.62,33,35,68,28,93,30,55,0,8,64.1,46.1,18.0,6.2,2.1,8.3,4,0,4,0.0
972,Vladislav Kamenev\kamenvl01,22,COL,LW,23,2,0.09,0.13,0.22,0.08,0.43,0.96,2,3,5,2,10,4,11,3,-2,4.9,6.9,-1.9,0.1,0.1,0.3,0,,,
973,Vladislav Namestnikov\namesvl01,26,NYR,C,78,11,0.14,0.26,0.40,0.15,0.56,1.53,11,20,31,11,57,15,64,15,-7,40.2,44.5,-4.3,0.8,1.2,2.0,0,,,
974,Wade Megan\meganwa01,28,DET,C,11,0,0.00,0.09,0.09,0.02,0.18,1.45,0,1,1,0,2,0,7,1,-4,3.9,3.8,0.1,-0.1,-0.1,-0.2,0,,,
975,Warren Foegele\foegewa01,22,CAR,LW,77,7,0.13,0.06,0.19,0.09,0.26,1.38,10,5,15,7,25,0,57,15,-17,38.0,33.3,4.7,-0.1,0.5,0.4,0,,,
976,Wayne Simmonds\simmowa01,30,TOT,RW,79,13,0.22,0.16,0.38,0.16,1.25,1.99,17,13,30,13,55,16,56,0,-16,39.3,38.0,1.3,1.2,0.7,1.9,0,,,
977,Will Butcher\butchwi01,24,NJD,D,78,9,0.05,0.33,0.38,0.12,0.23,1.38,4,26,30,9,82,25,75,1,-17,58.1,49.1,9.0,1.7,2.4,4.1,0,,,
978,William Borgen\borgewi01,22,BUF,D,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,5,0,-5,3.1,3.2,-0.1,-0.1,-0.2,-0.3,0,,,
979,William Carrier\carriwi01,24,VEG,LW,54,5,0.15,0.02,0.17,0.09,0.54,1.57,8,1,9,5,14,0,18,0,-4,26.6,21.1,5.6,0.3,0.5,0.7,0,,,
980,William Karlsson\karlswi01,26,VEG,C,82,22,0.29,0.39,0.68,0.27,0.20,2.06,24,32,56,22,85,20,74,10,1,55.3,47.0,8.3,3.9,1.8,5.7,4,1,3,25.0
981,William Nylander\nylanwi01,22,TOR,C,54,9,0.13,0.37,0.50,0.17,0.30,2.41,7,20,27,9,43,10,38,1,-4,43.0,31.2,11.8,1.1,0.6,1.6,1,0,1,0.0
982,Xavier Ouellet\ouellxa01,25,MTL,D,19,1,0.00,0.16,0.16,0.04,0.68,1.68,0,3,3,1,8,0,15,4,-3,14.4,10.1,4.4,-0.1,0.4,0.3,0,,,
983,Yanni Gourde\gourdya01,27,TBL,C,80,19,0.28,0.33,0.60,0.24,0.83,1.63,22,26,48,19,77,19,62,13,9,49.8,44.6,5.2,3.5,1.4,4.9,0,,,
984,Yannick Weber\weberya01,30,NSH,D,62,3,0.03,0.10,0.13,0.04,0.29,1.08,2,6,8,3,29,0,26,3,7,31.1,30.4,0.8,0.1,2.1,2.3,0,,,
985,Zac Dalpe\dalpeza01,29,CBJ,RW,1,0,0.00,1.00,1.00,0.28,0.00,1.00,0,1,1,0,1,0,0,0,1,0.2,0.9,-0.7,0.1,0.0,0.1,0,,,
986,Zac Rinaldo\rinalza01,28,NSH,C,23,1,0.04,0.09,0.13,0.05,0.87,0.48,1,2,3,1,4,0,3,0,1,3.7,4.3,-0.6,0.0,0.2,0.2,0,,,
987,Zach Aston-Reese\astonza01,24,PIT,C,43,7,0.19,0.21,0.40,0.16,0.60,1.77,8,9,17,7,26,0,23,9,12,22.7,18.9,3.8,0.9,1.1,1.9,0,,,
988,Zach Bogosian\bogosza01,28,BUF,D,65,6,0.05,0.25,0.29,0.09,0.80,1.43,3,16,19,6,56,1,80,20,-5,50.2,58.1,-7.9,0.5,3.2,3.7,0,,,
989,Zach Hyman\hymanza01,26,TOR,C,71,17,0.30,0.28,0.58,0.24,0.92,2.03,21,20,41,17,73,2,75,21,16,62.7,52.9,9.8,2.8,1.6,4.5,0,,,
990,Zach Parise\parisza01,34,MIN,LW,74,24,0.38,0.45,0.82,0.32,0.35,3.09,28,33,61,24,84,25,73,12,-2,45.9,41.8,4.1,5.0,1.9,6.9,5,1,4,20.0
991,Zach Sanford\sanfoza01,24,STL,LW,60,8,0.13,0.20,0.33,0.13,0.35,1.28,8,12,20,8,31,1,24,2,8,32.7,25.0,7.7,0.7,1.3,2.0,0,,,
992,Zach Trotman\trotmza01,28,PIT,D,13,0,0.00,0.08,0.08,0.02,0.31,1.23,0,1,1,0,8,1,4,1,4,8.9,6.6,2.3,-0.1,0.6,0.5,0,,,
993,Zach Werenski\werenza01,21,CBJ,D,82,15,0.13,0.40,0.54,0.19,0.22,2.05,11,33,44,15,96,20,102,13,-12,71.3,76.6,-5.4,3.4,3.1,6.5,0,,,
994,Zachary Senyshyn\senysza01,21,BOS,RW,2,1,0.50,0.00,0.50,0.27,0.00,2.00,1,0,1,1,1,0,2,1,0,0.8,0.9,-0.2,0.1,0.0,0.2,0,,,
995,Zack Kassian\kassiza01,28,EDM,RW,79,11,0.19,0.14,0.33,0.14,1.29,1.41,15,11,26,11,54,0,73,13,-6,45.9,48.6,-2.7,0.9,1.1,2.0,0,,,
996,Zack MacEwen\macewza01,22,VAN,C,4,0,0.00,0.25,0.25,0.07,1.25,0.50,0,1,1,0,1,0,5,0,-4,1.0,1.4,-0.3,0.0,-0.1,-0.1,0,,,
997,Zack Smith\smithza01,30,OTT,C,70,10,0.13,0.27,0.40,0.14,1.16,1.44,9,19,28,10,39,0,60,14,-6,35.9,44.5,-8.6,0.5,1.1,1.5,0,,,
998,Zdeno Chara\charazd01,41,BOS,D,62,5,0.08,0.15,0.23,0.08,0.92,1.60,5,9,14,5,65,3,70,30,22,48.5,42.7,5.8,0.3,4.5,4.8,0,,,
999,Zemgus Girgensons\girgeze01,25,BUF,C,72,6,0.07,0.18,0.25,0.09,0.24,1.08,5,13,18,6,26,0,55,18,-11,28.5,33.8,-5.3,-0.4,0.8,0.4,0,,,
