,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
893,Steven Stamkos\stamkst01,28,TBL,C,82,39,0.55,0.65,1.20,0.47,0.45,2.85,46,53,99,40,132,61,68,2,4,53.0,51.7,1.3,10.1,1.4,11.5,3,2,1,66.7
894,Sven Andrighetto\andrisv01,25,COL,RW,64,7,0.11,0.16,0.27,0.10,0.22,1.48,7,10,17,7,29,2,20,2,10,25.1,24.3,0.8,0.5,1.1,1.6,1,0,1,0.0
895,Sven Baertschi\baertsv01,26,VAN,LW,26,6,0.35,0.19,0.54,0.24,0.23,1.65,9,5,14,6,20,9,20,0,-9,11.0,14.7,-3.7,1.3,0.2,1.4,0,,,
896,T.J. Brodie\broditj01,28,CGY,D,79,11,0.11,0.32,0.43,0.15,0.30,1.29,9,25,34,12,94,6,79,20,29,69.0,55.1,13.9,2.2,4.8,7.0,0,,,
897,T.J. Oshie\oshietj01,32,WSH,C/RW,69,21,0.36,0.42,0.78,0.31,0.52,2.07,25,29,54,22,95,36,60,7,5,41.1,39.2,1.9,4.3,1.4,5.6,5,2,3,40.0
898,Tage Thompson\thompta01,21,BUF,C,65,5,0.11,0.08,0.18,0.08,0.31,1.66,7,5,12,5,18,2,38,0,-22,23.7,35.3,-11.5,-0.3,0.2,-0.1,3,1,2,33.3
899,Tanner Fritz\fritzta01,27,NYI,C,8,0,0.00,0.13,0.13,0.03,0.25,0.75,0,1,1,0,1,0,4,0,-3,2.0,2.9,-1.0,-0.1,0.0,-0.2,0,,,
900,Tanner Pearson\pearsta01,26,TOT,LW,80,12,0.23,0.11,0.34,0.15,0.31,1.84,18,9,27,12,39,8,48,2,-15,42.1,45.0,-2.9,1.4,0.7,2.2,0,,,
900,Tanner Pearson\pearsta01,26,VAN,LW,19,6,0.47,0.16,0.63,0.30,0.21,2.21,9,3,12,6,16,4,14,2,0,13.6,13.7,-0.1,1.3,0.4,1.7,4,1,3,25.0
901,Taro Hirose\hirosta01,22,DET,LW,10,2,0.10,0.60,0.70,0.22,0.20,1.50,1,6,7,2,8,1,8,0,0,4.7,6.8,-2.1,0.4,0.2,0.5,0,,,
902,Taylor Fedun\fedunta01,30,DAL,D,54,4,0.07,0.13,0.20,0.08,0.26,1.59,4,7,11,4,25,3,23,3,2,31.2,23.9,7.3,0.6,2.3,2.9,0,,,
903,Taylor Hall\hallta02,27,NJD,LW,33,13,0.33,0.79,1.12,0.40,0.48,3.42,11,26,37,13,48,15,39,0,-6,29.4,19.2,10.3,3.1,0.7,3.8,1,0,1,0.0
904,Teddy Blueger\bluegte01,24,PIT,C,28,4,0.21,0.14,0.36,0.15,0.54,1.18,6,4,10,4,13,0,12,6,7,9.5,10.5,-1.0,0.7,0.6,1.3,0,,,
905,Teuvo Teravainen\teravte01,24,CAR,LW,82,27,0.26,0.67,0.93,0.32,0.15,2.04,21,55,76,26,98,28,48,8,30,55.2,46.2,9.0,5.8,2.9,8.7,0,,,
906,Thatcher Demko\demkoth01,23,VAN,G,9,0,0.00,0.11,0.11,0.03,0.00,0.00,0,1,1,0,20,4,25,4,0,18.2,22.7,,0.0,0.0,1.7,0,,,
907,Thomas Chabot\chaboth01,22,OTT,D,70,18,0.20,0.59,0.79,0.26,0.46,2.64,14,41,55,19,116,26,105,3,-12,69.9,72.1,-2.2,4.8,2.7,7.5,1,0,1,0.0
908,Thomas Greiss\greisth01,33,NYI,G,43,0,0.00,0.02,0.02,0.01,0.09,0.00,0,1,1,0,91,14,87,24,0,82.2,82.6,,0.0,0.0,8.7,0,,,
909,Thomas Hickey\hicketh01,29,NYI,D,40,1,0.00,0.10,0.10,0.03,0.83,1.18,0,4,4,1,29,0,37,14,5,29.8,29.2,0.6,-0.5,2.1,1.6,0,,,
910,Thomas Vanek\vanekth01,35,DET,LW,64,14,0.25,0.31,0.56,0.22,0.41,1.69,16,20,36,14,56,21,48,1,-12,25.8,33.9,-8.1,2.7,0.5,3.3,4,0,4,0.0
911,Tim Heed\heedti01,28,SJS,D,37,4,0.05,0.30,0.35,0.11,0.27,1.11,2,11,13,4,36,6,21,0,9,19.8,19.8,0.0,0.8,1.6,2.5,0,,,
912,Tim Schaller\schalti01,28,VAN,LW,47,4,0.06,0.15,0.21,0.08,0.19,0.94,3,7,10,4,17,0,28,9,-2,17.4,19.8,-2.4,-0.1,0.6,0.5,0,,,
913,Timo Meier\meierti01,22,SJS,RW,78,26,0.38,0.46,0.85,0.33,0.71,3.21,30,36,66,26,91,17,67,3,9,62.4,51.7,10.7,5.8,1.6,7.4,0,,,
914,Timothy Gettinger\gettiti01,20,NYR,LW,4,0,0.00,0.00,0.00,0.00,0.00,0.50,0,0,0,0,1,0,1,0,0,0.6,1.2,-0.5,-0.1,0.0,0.0,0,,,
915,Tobias Rieder\riedeto01,26,EDM,C,67,3,0.00,0.16,0.16,0.04,0.12,1.37,0,11,11,3,13,2,31,12,-8,24.8,27.4,-2.6,-1.3,0.7,-0.6,0,,,
916,Tom Kuhnhackl\kuhnhto01,27,NYI,RW,36,4,0.11,0.14,0.25,0.10,0.28,0.83,4,5,9,4,18,1,21,5,1,14.4,20.1,-5.7,0.0,0.6,0.6,0,,,
917,Tom Pyatt\pyattto01,31,OTT,C,37,1,0.00,0.05,0.05,0.01,0.05,0.78,0,2,2,1,6,0,31,9,-16,10.1,15.9,-5.8,-1.0,-0.1,-1.1,0,,,
918,Tom Wilson\wilsoto01,24,WSH,RW,63,17,0.35,0.29,0.63,0.26,2.03,2.06,22,18,40,17,67,8,65,16,11,38.2,46.7,-8.5,3.0,1.5,4.4,0,,,
919,Tomas Hertl\hertlto01,25,SJS,C,77,29,0.45,0.51,0.96,0.38,0.23,2.29,35,39,74,30,113,34,90,15,5,58.7,51.4,7.3,6.7,1.6,8.3,2,0,2,0.0
920,Tomas Hyka\hykato01,25,VEG,RW,17,1,0.06,0.18,0.24,0.08,0.12,1.29,1,3,4,1,11,4,9,0,-2,9.0,6.6,2.5,0.0,0.2,0.1,0,,,
921,Tomas Nosek\nosekto01,26,VEG,C,68,7,0.12,0.13,0.25,0.10,0.26,1.71,8,9,17,7,28,1,47,10,-10,32.9,27.5,5.4,0.2,0.6,0.8,0,,,
922,Tomas Plekanec\plekato01,36,MTL,C,3,1,0.33,0.00,0.33,0.18,0.00,2.67,1,0,1,1,2,0,4,2,0,1.6,1.2,0.4,0.1,0.0,0.1,0,,,
923,Tomas Tatar\tatarto01,28,MTL,C,80,22,0.31,0.41,0.73,0.28,0.43,2.44,25,33,58,23,77,14,42,0,21,62.3,41.4,20.8,4.6,2.1,6.8,2,0,2,0.0
924,Torey Krug\krugto01,27,BOS,D,64,16,0.09,0.73,0.83,0.25,0.52,2.36,6,47,53,16,95,43,58,4,-2,49.6,45.0,4.6,4.2,2.8,7.1,1,0,1,0.0
925,Travis Boyd\boydtr01,25,WSH,C,53,7,0.09,0.28,0.38,0.13,0.11,0.66,5,15,20,7,28,2,28,8,6,17.5,22.1,-4.6,1.0,0.7,1.7,0,,,
926,Travis Dermott\dermotr01,22,TOR,D,64,6,0.06,0.20,0.27,0.09,0.34,1.53,4,13,17,6,45,1,52,3,-5,48.1,41.9,6.2,0.8,1.3,2.1,0,,,
927,Travis Hamonic\hamontr01,28,CGY,D,69,7,0.10,0.17,0.28,0.10,0.48,1.86,7,12,19,7,82,1,81,21,21,61.0,51.9,9.2,0.8,3.8,4.7,0,,,
928,Travis Konecny\konectr01,21,PHI,C,82,20,0.29,0.30,0.60,0.24,0.49,2.22,24,25,49,20,68,13,60,0,-4,46.3,53.2,-6.9,3.8,1.2,4.9,1,0,1,0.0
929,Travis Sanheim\sanhetr01,22,PHI,D,82,12,0.11,0.32,0.43,0.14,0.27,1.48,9,26,35,12,78,6,84,8,-4,65.1,61.3,3.7,2.4,2.9,5.3,0,,,
930,Travis Zajac\zajactr01,33,NJD,C,80,18,0.24,0.34,0.58,0.22,0.25,1.50,19,27,46,18,74,22,99,22,-25,47.6,48.0,-0.4,2.4,1.2,3.5,1,0,1,0.0
931,Trent Frederic\fredetr01,20,BOS,C,15,0,0.00,0.00,0.00,0.00,1.00,1.27,0,0,0,0,1,1,5,1,-4,3.0,5.5,-2.4,-0.4,0.0,-0.4,0,,,
932,Trevor Carrick\carritr01,24,CAR,D,1,0,0.00,0.00,0.00,0.00,5.00,0.00,0,0,0,0,0,0,1,0,-1,0.2,0.3,-0.1,0.0,0.0,-0.1,0,,,
933,Trevor Daley\daleytr01,35,DET,D,44,3,0.05,0.14,0.18,0.06,0.27,1.07,2,6,8,3,33,0,52,16,-3,27.6,38.4,-10.8,0.0,1.6,1.6,0,,,
934,Trevor Lewis\lewistr01,32,LAK,C,44,4,0.07,0.20,0.27,0.09,0.20,1.98,3,9,12,4,18,0,36,9,-9,19.8,21.5,-1.7,-0.2,0.5,0.3,0,,,
935,Trevor Moore\mooretr01,23,TOR,LW,25,3,0.08,0.24,0.32,0.11,0.08,1.04,2,6,8,3,9,0,8,0,1,8.2,8.5,-0.3,0.4,0.2,0.6,0,,,
936,Trevor van Riemsdyk\vanritr01,27,CAR,D,78,5,0.04,0.14,0.18,0.06,0.13,1.31,3,11,14,5,39,0,56,13,-4,45.6,37.6,8.0,0.3,2.4,2.7,0,,,
937,Tristan Jarry\jarrytr01,23,PIT,G,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,4,2,7,0,0,4.9,4.2,,0.0,0.0,0.2,0,,,
938,Troy Brouwer\brouwtr01,33,FLA,RW,75,9,0.16,0.12,0.28,0.12,0.63,1.15,12,9,21,9,32,1,49,12,-6,27.7,31.3,-3.6,0.6,0.9,1.5,0,,,
939,Troy Stecher\stechtr01,24,VAN,D,78,7,0.03,0.27,0.29,0.09,0.41,1.35,2,21,23,7,61,3,58,9,9,54.0,59.4,-5.3,0.7,4.4,5.1,0,,,
940,Troy Terry\terrytr01,21,ANA,C/RW,32,5,0.13,0.28,0.41,0.15,0.06,0.78,4,9,13,5,27,11,8,0,8,14.0,15.2,-1.2,0.5,0.9,1.4,3,1,2,33.3
941,Tuukka Rask\rasktu01,31,BOS,G,46,1,0.00,0.04,0.04,0.01,0.09,0.00,0,2,2,1,134,29,108,21,0,97.1,87.3,,0.0,0.0,7.3,0,,,
942,Ty Rattie\rattity01,25,EDM,RW,50,4,0.08,0.14,0.22,0.08,0.08,1.68,4,7,11,4,22,5,19,0,-2,22.6,20.0,2.7,-0.1,0.6,0.5,1,0,1,0.0
943,Tyler Bertuzzi\bertuty01,23,DET,LW,73,18,0.29,0.36,0.64,0.25,0.49,1.79,21,26,47,19,75,14,49,0,11,44.6,51.7,-7.0,3.5,1.7,5.2,1,0,1,0.0
944,Tyler Bozak\bozakty01,32,STL,C,72,14,0.18,0.35,0.53,0.19,0.28,1.96,13,25,38,14,58,19,57,15,-3,38.9,35.5,3.4,1.8,1.4,3.2,5,3,2,60.0
945,Tyler Ennis\ennisty01,29,TOR,C,51,8,0.24,0.12,0.35,0.16,0.04,1.59,12,6,18,8,22,7,21,0,-6,15.0,17.7,-2.8,1.6,0.2,1.8,1,0,1,0.0
946,Tyler Johnson\johnsty01,28,TBL,C,80,20,0.36,0.23,0.59,0.26,0.35,2.04,29,18,47,21,90,19,60,4,15,58.1,54.0,4.1,4.0,1.6,5.7,1,0,1,0.0
947,Tyler Lewington\lewinty01,24,WSH,D,2,1,0.50,0.50,1.00,0.40,3.50,1.50,1,1,2,1,3,0,0,0,3,1.7,0.9,0.9,0.3,0.3,0.5,0,,,
948,Tyler Motte\mottety01,23,VAN,C,74,7,0.12,0.09,0.22,0.09,0.14,1.54,9,7,16,7,26,0,49,11,-12,27.8,36.0,-8.2,-0.1,0.7,0.7,0,,,
949,Tyler Myers\myersty01,28,WPG,D,80,11,0.11,0.28,0.39,0.14,0.79,1.95,9,22,31,11,84,14,88,27,11,58.3,59.8,-1.4,2.0,3.8,5.8,0,,,
950,Tyler Pitlick\pitlity01,27,DAL,C,47,5,0.17,0.09,0.26,0.11,0.13,1.60,8,4,12,5,22,3,26,5,-2,20.2,23.4,-3.2,0.2,0.8,1.1,0,,,
